country,countrycode,population,total renewable freshwater resources [billion cubic meters] 2002,total renewable freshwater resources [billion cubic meters] 2014,annual freshwater withdrawl [%] 2002,annual freshwater withdrawl [%] 2014
Aruba,ABW,103441,,,,0
Andorra,AND,72786,0.3156,0.3156,,0
Afghanistan,AFG,31627506,47.15,47.15,43.0116649,43.0116649
Angola,AGO,24227524,148,148,0.43277027,0.476891892
Albania,ALB,2894475,26.9,26.9,6.832713755,4.873605948
Arab World,ARB,385272539,109.581,113.581,,215.8611916
United Arab Emirates,ARE,9086139,0.15,0.15,1936,2665.333333
Argentina,ARG,42980026,292,292,,12.93835616
Armenia,ARM,3006154,6.859,6.859,25.26607377,42.87797055
American Samoa,ASM,55434,,,,0
Antigua and Barbuda,ATG,90900,0.052,0.052,,22.11538462
Australia,AUS,23470118,492,492,4.410569106,4.014227642
Austria,AUT,8545908,55,55,6.649090909,6.649090909
Azerbaijan,AZE,9535079,8.115,8.115,124.0911892,147.5046211
Burundi,BDI,10816860,10.06,10.06,2.862823062,2.862823062
Belgium,BEL,11231213,12,12,56.15,51.46666667
Benin,BEN,10598482,10.3,10.3,1.262135922,1.262135922
Burkina Faso,BFA,17589198,12.5,12.5,5.7256,6.544
Bangladesh,BGD,159077513,105,105,,34.16190476
Bulgaria,BGR,7223938,21,21,27.0952381,29.13809524
Bahrain,BHR,1361930,0.004,0.004,,8935
"Bahamas, The",BHS,383054,0.7,0.7,,
Bosnia and Herzegovina,BIH,3817554,35.5,35.5,,0.926760563
Belarus,BLR,9470000,34,34,5.402941176,4.452941176
Belize,BLZ,351706,15.26,15.26,0.661861075,0.661861075
Bermuda,BMU,65181,,,,
Bolivia,BOL,10561887,303.5,303.5,,0.687973641
Brazil,BRA,206077898,5661,5661,,1.321851263
Barbados,BRB,283380,0.08,0.08,,101.25
Brunei Darussalam,BRN,417394,8.5,8.5,,1.082352941
Bhutan,BTN,765008,81,78,,0.433333333
Botswana,BWA,2219937,2.4,2.4,8.083333333,8.083333333
Central African Republic,CAF,4804316,141,141,0.046950355,0.05141844
Canada,CAN,35543658,2850,2850,,1.361403509
Central Europe and the Baltics,CEB,103488275,250.01,250.01,,15.2175913
Switzerland,CHE,8188102,40.4,40.4,6.232673267,4.908415842
Channel Islands,CHI,162917,,,,
Chile,CHL,17762647,885,885,,4.003389831
China,CHN,1364270000,2813,2813,,19.6978315
Cote d'Ivoire,CIV,22157107,76.84,76.84,1.833680375,2.015877147
Cameroon,CMR,22773014,273,273,0.353992674,0.353992674
"Congo, Rep.",COG,4504962,222,222,0.020720721,0.020720721
Colombia,COL,47791393,2145,2145,0.361118881,0.548717949
Comoros,COM,769991,1.2,1.2,0.833333333,0.833333333
Cabo Verde,CPV,513906,0.3,0.3,7.333333333,7.333333333
Costa Rica,CRI,4757606,113,113,,2.079646018
Caribbean small states,CSS,7012857,371.576,371.576,,0.957381982
Cuba,CUB,11379111,38.12,38.12,,18.25550892
Curacao,CUW,155909,,,,
Cayman Islands,CYM,59172,,,,
Cyprus,CYP,1153658,0.78,0.78,26.98717949,23.58974359
Czech Republic,CZE,10525347,13.15,13.15,14.5095057,14
Germany,DEU,80970732,107,107,36.58878505,30.87850467
Djibouti,DJI,876174,0.3,0.3,6.333333333,6.333333333
Dominica,DMA,72341,0.2,0.2,8.3,10
Denmark,DNK,5638530,6,6,11.13333333,10.86666667
Dominican Republic,DOM,10405943,23.5,23.5,20.70212766,30.45106383
Algeria,DZA,38934334,11.25,11.25,50.87111111,74.88888889
East Asia & Pacific (developing only),EAP,2020656037,8773.165,8773.165,,10.87547238
East Asia & Pacific (all income levels),EAS,2264058207,10106.115,10096.115,,10.79469476
Europe & Central Asia (developing only),ECA,263565607,716.489,724.896,,30.1607403
Europe & Central Asia (all income levels),ECS,901978575,7666.3146,7071.7216,,7.485420863
Ecuador,ECU,15902916,442.4,442.4,2.117766727,2.241862568
"Egypt, Arab Rep.",EGY,89579670,1.8,1.8,3794.444444,3794.444444
Euro area,EMU,338302110,1008.7105,1008.7105,,20.45034725
Eritrea,ERI,5110444,2.8,2.8,14.76428571,20.78571429
Spain,ESP,46476032,111.2,111.2,32.32014388,30.1618705
Estonia,EST,1314545,12.71,12.71,11.11723053,12.83241542
Ethiopia,ETH,96958732,122,122,4.555737705,4.555737705
European Union,EUU,507962837,1504.5405,1504.5405,,16.77936885
Fragile and conflict affected situations,FCS,472954698,3154.979,3184.979,,6.701926803
Finland,FIN,5461512,107,107,2.16728972,6.13271028
Fiji,FJI,886450,28.55,28.55,0.286164623,0.286164623
France,FRA,66217509,200,200,16.19,16.555
Faroe Islands,FRO,48221,,,,
"Micronesia, Fed. Sts.",FSM,104044,,,,
Gabon,GAB,1687673,164,164,0.073353659,0.084817073
United Kingdom,GBR,64559135,145,145,10.75172414,7.468965517
Georgia,GEO,3727000,58.13,58.13,,3.136074316
Ghana,GHA,26786598,30.3,30.3,3.240924092,3.240924092
Guinea,GIN,12275527,226,226,0.244823009,0.244823009
"Gambia, The",GMB,1928201,3,3,3.016666667,3.016666667
Guinea-Bissau,GNB,1800513,16,16,1.09375,1.09375
Equatorial Guinea,GNQ,820885,26,26,0.066923077,0.066923077
