age,children,cleaned_name,gender,industry,name,place,source,status,cash,key,last,last_rel,net,private,public,rank,ytd,ytd_rel
61.0,2,alwaleed-al-saud,Male,Diversified,Alwaleed Al Saud,Saudi Arabia,Self-made,Divorced,1.41,alwaleed-al-saud,126.49,0.69,18.42,44.75,53.84,39,-6495.25,-26.07
54.0,2,abby-johnson,Female,Finance,AbbyJohnson,United States,Inherited,Married,1.01,abby-johnson,-50.95,-0.64,7.86,98.99,0.0,157,-161.04,-2.01
84.0,7,donald-bren,Male,Real Estate,Donald Bren,United States,Self-made,Married,5.05,donald-bren,0.0,0.0,16.56,94.95,0.0,47,25.0,0.15
80.0,5,silvio-berlusconi,Male,Media,Silvio Berlusconi,Italy,Self-made,Married,47.01,silvio-berlusconi,22.19,0.33,6.82,9.0,43.99,197,-62.18,-0.9
83.0,2,eli-broad,Male,Finance,Eli Broad,United States,Self-made,Married,6.0,eli-broad,0.11,0.0,7.38,94.0,0.0,176,-26.56,-0.36
78.0,0,thomas-frist,Male,Medical,Thomas Frist,United States,Self-made,Unknown,34.22,thomas-frist,-4.82,-0.06,7.85,0.0,65.78,160,853.44,12.2
86.0,3,warren-buffett,Male,Finance,Warren Buffett,United States,Self-made,Married,1.4,warren-buffett,-221.26,-0.34,64.53,0.0,98.6,4,2236.01,3.59
79.0,4,les-wexner,Male,Retail,Les Wexner,United States,Self-made,Married,59.22,les-wexner,-9.33,-0.12,7.64,0.0,40.78,168,-685.24,-8.23
61.0,3,bill-gates,Male,Technology,Bill Gates,United States,Self-made,Married,53.5,bill-gates,-353.03,-0.4,88.89,0.56,45.94,1,5104.04,6.09
60.0,3,steve-ballmer,Male,Technology,Steve Ballmer,United States,Self-made,Married,12.15,steve-ballmer,-92.68,-0.37,24.79,7.97,79.88,26,850.74,3.55
67.0,5,bernard-arnault,Male,Retail,Bernard Arnault,France,Self-made,Married,2.94,bernard-arnault,681.97,1.97,35.33,0.3,96.76,16,3463.6,10.87
76.0,6,carlos-slim,Male,Diversified,Carlos Slim,Mexico,Self-made,Widowed,5.89,carlos-slim,298.99,0.61,49.03,5.05,89.05,8,-3237.01,-6.19
76.0,2,dietmar-hopp,Male,Technology,Dietmar Hopp,Germany,Self-made,Married,15.73,dietmar-hopp,37.28,0.55,6.81,15.79,68.48,199,983.91,16.88
72.0,2,hasso-plattner,Male,Technology,Hasso Plattner,Germany,Self-made,Separated,24.67,hasso-plattner,76.98,0.68,11.43,3.8,71.52,95,878.16,8.32
51.0,3,ernesto-bertarelli,Male,Diversified,Ernesto Bertarelli,Switzerland,Inherited,Married,78.65,ernesto-bertarelli,-74.76,-0.51,14.62,17.56,3.79,60,456.58,3.22
91.0,4,serge-dassault,Male,Manufacturing,Serge Dassault,France,Inherited,Married,6.88,serge-dassault,24.09,0.15,16.53,5.5,87.63,48,661.36,4.17
66.0,1,vagit-alekperov,Male,Energy,Vagit Alekperov,Russia,Self-made,Married,13.69,vagit-alekperov,0.1,0.0,10.5,5.56,80.75,111,3788.5,56.42
83.0,5,luis-sarmiento,Male,Finance,Luis Sarmiento,Colombia,Self-made,Married,18.68,luis-sarmiento,-210.65,-1.8,11.5,11.29,70.03,94,1160.33,11.22
73.0,0,david-geffen,Male,Media,David Geffen,United States,Self-made,Single,29.5,david-geffen,8.05,0.11,7.08,45.89,24.61,185,301.85,4.45
68.0,0,carlos-sicupira,Male,Finance,Carlos Sicupira,Brazil,Self-made,Married,4.16,carlos-sicupira,10.76,0.09,12.67,0.0,95.84,77,1722.72,15.74
66.0,2,lakshmi-mittal,Male,Metals & Mining,Lakshmi Mittal,India,Self-made,Married,25.79,lakshmi-mittal,-1.45,-0.01,13.17,7.9,66.3,73,3772.89,40.14
85.0,6,rupert-murdoch,Male,Media,Rupert Murdoch,United States,Self-made,Married,17.97,rupert-murdoch,-41.47,-0.37,11.05,0.88,81.15,101,-204.85,-1.82
89.0,0,si-newhouse,Male,Media,Si Newhouse,United States,Inherited,Married,11.91,si-newhouse,-33.02,-0.28,11.85,29.43,58.66,91,1130.71,10.55
,3,donald-newhouse,Male,Media,Donald Newhouse,United States,Inherited,Widowed,13.08,donald-newhouse,-33.02,-0.3,10.85,22.46,64.45,105,1130.71,11.63
73.0,3,jim-goodnight,Male,Technology,Jim Goodnight,United States,Self-made,Married,0.0,jim-goodnight,-7.62,-0.09,8.87,100.0,0.0,137,-1594.08,-15.23
90.0,3,hans-rausing,Male,Diversified,Hans Rausing,Sweden,Inherited,Married,96.75,hans-rausing,-127.9,-1.15,11.01,3.25,0.0,103,-1102.12,-9.1
71.0,1,takemitsu-takizaki,Male,Technology,Takemitsu Takizaki,Japan,Self-made,Married,0.0,takemitsu-takizaki,-111.25,-0.97,11.39,0.01,99.99,97,2767.3,32.11
68.0,3,alain-wertheimer,Male,Retail,Alain Wertheimer,France,Inherited,Married,0.0,alain-wertheimer,95.37,0.98,9.85,100.0,0.0,118,-2019.12,-17.01
,4,pallonji-mistry,Male,Manufacturing,Pallonji Mistry,India,Inherited,Married,8.71,pallonji-mistry,-52.59,-0.36,14.5,9.11,82.18,62,621.07,4.48
